ciclo,carrera,no_ingresantes,a_menos_de_un_punto,porcentaje
2024,INGENIERIA COMERCIAL,31,26,83.9
2024,INGENIERIA DE INDUSTRIA ALIMENTARIA,3,2,66.7
2024,INGENIERIA DE MINAS,91,76,83.5
2024,INGENIERIA DE SISTEMAS,124,106,85.5
2024,INGENIERIA INDUSTRIAL TRASLADO INTERNO II,50,39,78.0
2024,INGENIERIA MECANICA ELECTRICA,31,23,74.2
2024,INGENIERIA MECATRONICA,34,29,85.3
2024,MEDICINA HUMANA TRASLADO INTERNO II,260,158,60.8
2024,MEDICINA VETERINARIA Y ZOOTECNIA,113,96,85.0
2024,OBSTETRICIA Y PUERICULTURA,152,129,84.9
2024,ODONTOLOGIA,204,193,94.6
2024,PSICOLOGIA TRASLADO INTERNO II,187,161,86.1
2024,PUBLICIDAD Y MULTIMEDIA TRASLADO EXTERNO NACIONAL II,25,12,48.0
2024,TECNOLOGIA MEDICA EN TERAPIA FISICA Y REHABILITACION,30,25,83.3
2025,ADMINISTRACION DE EMPRESAS,10,5,50.0
2025,APRESTAMIENTO,4,2,50.0
2025,ARQUITECTURA,20,14,70.0
2025,CIENCIA POLITICA Y GOBIERNO,3,1,33.3
2025,COMUNICACION SOCIAL TRASLADO INTERNO II,5,2,40.0
2025,CONTABILIDAD,2,0,0.0
2025,DERECHO TRASLADO INTERNO II,122,110,90.2
2025,EDUCACION INICIAL,3,2,66.7
2025,ENFERMERIA,62,51,82.3
2025,FARMACIA Y BIOQUIMICA,17,12,70.6
2025,INGENIERIA AMBIENTAL TRASLADO INTERNO II,5,2,40.0
2025,INGENIERIA BIOTECNOLOGICA,2,1,50.0
2025,INGENIERIA CIVIL TRASLADO INTERNO II,32,23,71.9
2025,INGENIERIA COMERCIAL,16,14,87.5
2025,INGENIERIA DE MINAS,64,58,90.6
2025,INGENIERIA DE SISTEMAS,35,28,80.0
2025,INGENIERIA INDUSTRIAL TRASLADO INTERNO II,78,66,84.6
2025,INGENIERIA MECANICA ELECTRICA,11,3,27.3
2025,INGENIERIA MECATRONICA,48,45,93.8
2025,MEDICINA HUMANA TRASLADO INTERNO II,195,165,84.6
2025,MEDICINA VETERINARIA Y ZOOTECNIA,80,70,87.5
2025,OBSTETRICIA Y PUERICULTURA,48,39,81.2
2025,ODONTOLOGIA,187,177,94.7
2025,PSICOLOGIA TRASLADO INTERNO II,101,89,88.1
2025,PUBLICIDAD Y MULTIMEDIA TRASLADO EXTERNO NACIONAL II,20,9,45.0
2025,TECNOLOGIA MEDICA EN TERAPIA FISICA Y REHABILITACION,94,89,94.7
