archivo,ciclo,tipo,proceso,fecha_examen,familia,paginas,modalidad,condiciones,bytes,sha256,origen,ruta,estado
EG2024I.pdf,2024,ordinario,PRIMER EXAMEN ORDINARIO 2024,03/09/2023,DEVEXP,77,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,499791,a825cf306ce8cf3f,wayback,data/raw/2024/EG2024I.pdf,ok
precatolica2024-II.pdf,2024,precatolica,PRECATOLICA 2024-II,03/12/2023,DEVEXP,66,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,370303,14dd8a75161ab900,wayback,data/raw/2024/precatolica2024-II.pdf,ok
Extraordinario20241.pdf,2024,convenio_cci,EXAMEN EXTRAORDINARIO 2024 I - CONVENIO ANDRES BELLO,04/02/2024,DEVEXP,83,,INGRESO|NO INGRESO|NSP|NC,248029,556769cfb37fc800,wayback,data/raw/2024/Extraordinario20241.pdf,ok
Extraordinario2024II.pdf,2024,traslado,EXAMEN EXTRAORDINARIO 2024 II - TRASLADO EXTERNO NACIONAL II,04/08/2024,DEVEXP,31,,INGRESO|NSP|NC,128652,4efe1fb72a2fd34e,wayback,data/raw/2024/Extraordinario2024II.pdf,ok
RendimientoSuperior2024.pdf,2024,rendimiento_superior,EXAMEN EXTRAORDINARIO 2024 I - RENDIMIENTO SUPERIOR - AREQUIPA,09/07/2023,DEVEXP,61,,INGRESO|NO INGRESO|NC,315154,541f7fe30fbba7f0,wayback,data/raw/2024/RendimientoSuperior2024.pdf,ok
RendimientoSuperior2024_2.pdf,2024,rendimiento_superior,EXAMEN EXTRAORDINARIO 2024 I - RENDIMIENTO SUPERIOR - AREQUIPA,09/07/2023,DEVEXP,54,,INGRESO|NSP|NC,198194,435216ddc7bb739a,wayback,data/raw/2024/RendimientoSuperior2024_2.pdf,ok
precatolica2024-III.pdf,2024,precatolica,PRECATOLICA 2024-III,11/02/2024,DEVEXP,64,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,358118,e11b3b813c1500dc,wayback,data/raw/2024/precatolica2024-III.pdf,ok
precatolica2024-I.pdf,2024,precatolica,PRECATOLICA 2024-I,14/08/2023,DEVEXP,67,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,408586,068711feeaff0424,wayback,data/raw/2024/precatolica2024-I.pdf,ok
DISTANCIA_E2024I.pdf,2024,distancia,PRIMER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2024 - ORDINARIO I,15/10/2023,DEVEXP,24,,INGRESO|NO INGRESO|NSP|NC,138584,beab168112561948,wayback,data/raw/2024/DISTANCIA_E2024I.pdf,ok
EG2024II.pdf,2024,ordinario,SEGUNDO EXAMEN ORDINARIO 2024,17/12/2023,DEVEXP,66,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,399834,71ba799742fe23bd,wayback,data/raw/2024/EG2024II.pdf,ok
EG2024III.pdf,2024,ordinario,TERCER EXAMEN ORDINARIO 2024,18/02/2024,DEVEXP,76,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,502811,667c1840f45cb447,sondeo,data/raw/2024/EG2024III.pdf,ok
Beca_Esperanza_2024.pdf,2024,beca,RESULTADOS EXAMEN DE ADMISION 2024 - BECA ESPERANZA JOVEN,25/03/2024,DEVEXP,26,NO SELECCIONADO,NSP|NC,223846,985b84888cc984ec,wayback,data/raw/2024/Beca_Esperanza_2024.pdf,ok
DISTANCIA_E2024III.pdf,2024,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2024 - ORDINARIO III,25/03/2024,DEVEXP,28,,INGRESO|NO INGRESO|NSP|NC,144297,40dd73af8844d526,wayback,data/raw/2024/DISTANCIA_E2024III.pdf,ok
DISTANCIA_E2024II.pdf,2024,distancia,SEGUNDO EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2024 - ORDINARIO II,28/01/2024,DEVEXP,22,,INGRESO|NO INGRESO|NSP|NC,135678,3922c8639ac7e2fa,wayback,data/raw/2024/DISTANCIA_E2024II.pdf,ok
2024CCI-I.pdf,2024,convenio_cci,EXAMEN EXTRAORDINARIO 2024 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,28/05/2023,DEVEXP,21,,INGRESO|NC,112045,2b82279ab1afe46d,wayback,data/raw/2024/2024CCI-I.pdf,ok
2024CCI-I_medicina.pdf,2024,convenio_cci,EXAMEN EXTRAORDINARIO 2024 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,28/05/2023,DEVEXP,2,NO INGRESO,INGRESO|NO INGRESO|NSP|NC,80342,2ca454c743d40de2,wayback,data/raw/2024/2024CCI-I_medicina.pdf,ok
Aptos2025CCI.pdf,2025,convenio_cci,,,MS-OFFICE,2,,,171427,b4ed86d31d012512,wayback,data/raw/2025/Aptos2025CCI.pdf,ok
Aptos2025RS.pdf,2025,lista_aptos,,,MS-OFFICE,10,,,515795,b41019c1b0b3d3ee,wayback,data/raw/2025/Aptos2025RS.pdf,ok
ExpRechazados2025CCI.pdf,2025,convenio_cci,,,MS-OFFICE,1,,,88908,4b1907f9cd7a8f45,wayback,data/raw/2025/ExpRechazados2025CCI.pdf,ok
Extraordinario2025I.pdf,2025,extraordinario,,,OTRO,65,,,1169593,9dbbc72b26a7c585,sondeo,data/raw/2025/Extraordinario2025I.pdf,ok
NoAptos2025RS.pdf,2025,lista_aptos,,,MS-OFFICE,2,,,139409,b99373a45c8d89bb,wayback,data/raw/2025/NoAptos2025RS.pdf,ok
Extraordinario2025II.pdf,2025,traslado,EXAMEN EXTRAORDINARIO 2025 II - TRASLADO EXTERNO NACIONAL II,03/08/2025,DEVEXP,28,,INGRESO|NSP|NC,117780,e820b85e627d74fd,sondeo,data/raw/2025/Extraordinario2025II.pdf,ok
precatolica2025-I.pdf,2025,precatolica,PRECATOLICA 2025-I,07/07/2024,DEVEXP,63,PRIMERA POSTULACION,NSP|NC,309433,bc3b2d954bd4c72b,wayback,data/raw/2025/precatolica2025-I.pdf,ok
precatolica2025-IIfinal.pdf,2025,precatolica,PRECATOLICA 2025-II,08/12/2024,DEVEXP,61,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,350721,ab6a8e427f3b507a,wayback,data/raw/2025/precatolica2025-IIfinal.pdf,ok
precatolica2025-III_final3.pdf,2025,precatolica,SEGUNDO EXAMEN DE SELECCION PRECATOLICA 2025-III,09/02/2025,DEVEXP,59,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,316919,5410add98c371255,wayback,data/raw/2025/precatolica2025-III_final3.pdf,ok
RendimientoSuperior2025.pdf,2025,rendimiento_superior,EXAMEN EXTRAORDINARIO 2025 I - RENDIMIENTO SUPERIOR - AREQUIPA,14/07/2024,DEVEXP,63,NO INGRESO,INGRESO|NO INGRESO|NC,320029,5a8d00d85f3e467a,wayback,data/raw/2025/RendimientoSuperior2025.pdf,ok
EG2025II.pdf,2025,ordinario,SEGUNDO EXAMEN ORDINARIO 2025,15/12/2024,DEVEXP,59,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,352448,2a3747cfb1aa5b65,wayback,data/raw/2025/EG2025II.pdf,ok
EG2025III.pdf,2025,ordinario,TERCER EXAMEN ORDINARIO 2025,16/02/2025,DEVEXP,32,,INGRESO|NSP|NC,246067,069e251948b3fbcf,sondeo,data/raw/2025/EG2025III.pdf,ok
precatolica2025-Ifinal.pdf,2025,precatolica,PRECATOLICA 2025-I,18/08/2024,DEVEXP,63,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,363779,51c50b5432281f26,wayback,data/raw/2025/precatolica2025-Ifinal.pdf,ok
precatolica2025-III.pdf,2025,precatolica,PRIMER EXAMEN DE SELECCION PRECATOLICA 2025-III,19/01/2025,DEVEXP,58,PRIMERA POSTULACION,NSP|NC,279048,760d15e3c3d5adb4,sondeo,data/raw/2025/precatolica2025-III.pdf,ok
DISTANCIA_E2025III.pdf,2025,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - ORDINARIO III,23/03/2025,DEVEXP,16,,INGRESO|NO INGRESO|NSP|NC,124062,c7bd85dfb498b0d5,wayback,data/raw/2025/DISTANCIA_E2025III.pdf,ok
DISTANCIA_E2025III_EXTRA.pdf,2025,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - TRASLADO EXTERNO NACIONAL III,23/03/2025,DEVEXP,9,,INGRESO|NSP|NC,85165,1048fe5ebd7b05fd,wayback,data/raw/2025/DISTANCIA_E2025III_EXTRA.pdf,ok
Beca_Esperanza_2025.pdf,2025,beca,RESULTADOS EXAMEN DE ADMISION 2025 - BECA ESPERANZA JOVEN,24/03/2025,DEVEXP,20,,NC,222428,7a1e8fbecddf90cb,wayback,data/raw/2025/Beca_Esperanza_2025.pdf,ok
EG2025I.pdf,2025,ordinario,PRIMER EXAMEN ORDINARIO 2025,25/08/2024,DEVEXP,64,PRIMERA POSTULACION,INGRESO|NO INGRESO|NSP|NC,408827,5d61e4859023f452,wayback,data/raw/2025/EG2025I.pdf,ok
DISTANCIA_E2025II.pdf,2025,distancia,SEGUNDO EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - ORDINARIO II,26/01/2025,DEVEXP,22,,INGRESO|NO INGRESO|NSP|NC,205759,d30d9bf7c52d125e,sondeo,data/raw/2025/DISTANCIA_E2025II.pdf,ok
2025CCI-I.pdf,2025,convenio_cci,EXAMEN EXTRAORDINARIO 2025 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,26/05/2024,DEVEXP,19,,INGRESO|NSP|NC,110224,a2bd94d3af60c135,wayback,data/raw/2025/2025CCI-I.pdf,ok
2025CCI-I_medicina.pdf,2025,convenio_cci,EXAMEN EXTRAORDINARIO 2025 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,26/05/2024,DEVEXP,2,NO INGRESO,INGRESO|NO INGRESO|NSP|NC,79832,a5da44ca87056e88,wayback,data/raw/2025/2025CCI-I_medicina.pdf,ok
DISTANCIA_E2025I.pdf,2025,distancia,PRIMER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2025 - ORDINARIO I,27/10/2024,DEVEXP,15,,INGRESO|NO INGRESO|NSP|NC,179240,5950877c916b1183,wayback,data/raw/2025/DISTANCIA_E2025I.pdf,ok
Aptos2026CCI.pdf,2026,convenio_cci,,,MS-OFFICE,6,,,175837,f1a420e24eb4c983,sondeo,data/raw/2026/Aptos2026CCI.pdf,ok
Aptos2026RS.pdf,2026,lista_aptos,,,MS-OFFICE,12,,,607185,cc5dee199449fabe,sondeo,data/raw/2026/Aptos2026RS.pdf,ok
NoAptos2026RS.pdf,2026,lista_aptos,,,MS-OFFICE,2,,,181544,2f1146bbed4dfda0,sondeo,data/raw/2026/NoAptos2026RS.pdf,ok
Extraordinario2026I.pdf,2026,convenio_cci,EXAMEN EXTRAORDINARIO 2026 I - CONVENIO ANDRES BELLO,01/02/2026,DEVEXP,65,,INGRESO|NSP|NC,196042,d8cdfe539743b445,sondeo,data/raw/2026/Extraordinario2026I.pdf,ok
Resultados_Final_EO2026II.pdf,2026,traslado,EXAMEN EXTRAORDINARIO 2026 II - TRASLADO EXTERNO NACIONAL II,02/08/2026,DEVEXP,33,,INGRESO|NSP|NC,169320,736456e248576597,web,data/raw/2026/Resultados_Final_EO2026II.pdf,ok
DISTANCIA_E2026I.pdf,2026,distancia,PRIMER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2026 - ORDINARIO I,02/11/2025,DEVEXP,26,,INGRESO|NSP|NC,125203,135e98a118cd62ed,sondeo,data/raw/2026/DISTANCIA_E2026I.pdf,ok
precatolica2026-I_final.pdf,2026,precatolica,PRECATOLICA 2026-I,03/08/2025,DEVEXP,51,PRIMERA POSTULACION,INGRESO|NSP|NC,213460,a92d56e3c7bb52fd,sondeo,data/raw/2026/precatolica2026-I_final.pdf,ok
RESULT_EXTRAORDINARIO_2026.pdf,2026,extraordinario,EXAMEN EXTRAORDINARIO ESPECIAL 2026 - PRIMEROS PUESTOS,05/07/2026,DEVEXP,6,,INGRESO|NSP|NC,127495,1c4b3584359e2053,web,data/raw/2026/RESULT_EXTRAORDINARIO_2026.pdf,ok
RESULT_ORDINARIO_2026.pdf,2026,ordinario,SEGUNDO EXAMEN ORDINARIO ESPECIAL 2026 - EGRESADOS SECUNDARIA,05/07/2026,DEVEXP,11,,INGRESO|NSP|NC,150771,3cb924d94d6f40e6,web,data/raw/2026/RESULT_ORDINARIO_2026.pdf,ok
RendimientoSuperior2026.pdf,2026,rendimiento_superior,EXAMEN EXTRAORDINARIO 2026 I - RENDIMIENTO SUPERIOR - AREQUIPA,06/07/2025,DEVEXP,76,NO INGRESO,INGRESO|NO INGRESO|NC,343503,13c57e7c76ee0cd7,sondeo,data/raw/2026/RendimientoSuperior2026.pdf,ok
Resul_PrecaIII.pdf,2026,precatolica,PRECATOLICA 2026-III,08/02/2026,DEVEXP,55,PRIMERA POSTULACION,INGRESO|NSP|NC,212712,ca00e73e510579e2,web,data/raw/2026/Resul_PrecaIII.pdf,ok
Resultados_2026_IIIORDINARIO.pdf,2026,ordinario,TERCER EXAMEN ORDINARIO 2026,15/02/2026,DEVEXP,36,INGRESO,INGRESO|NSP|NC,247206,976e536465865a4a,web,data/raw/2026/Resultados_2026_IIIORDINARIO.pdf,ok
