archivo,ciclo,tipo,proceso,fecha_examen,paginas,ruta,paginas_texto,familia,condiciones,columnas,n_puntajes,n_codigos,n_nombres,n_cortes,utilidad
precatolica2023-IIIsalud.pdf,2023,precatolica,,,3,data/raw/2023/precatolica2023-IIIsalud.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
precatolica2023-IIsalud.pdf,2023,precatolica,,,4,data/raw/2023/precatolica2023-IIsalud.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
precatolica2023-Isalud.pdf,2023,precatolica,,,4,data/raw/2023/precatolica2023-Isalud.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
2024CCI-I.pdf,2024,convenio_cci,EXAMEN EXTRAORDINARIO 2024 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,28/05/2023,21,data/raw/2024/2024CCI-I.pdf,21,DEVEXP,INGRESO,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,174,0,67,0,solo_ingresantes
2024CCI-I_medicina.pdf,2024,convenio_cci,EXAMEN EXTRAORDINARIO 2024 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,28/05/2023,2,data/raw/2024/2024CCI-I_medicina.pdf,2,DEVEXP,INGRESO|NO INGRESO,Condición|Código|Nombre|Ord.,62,0,98,0,con_denominador
Aptos2024CCI.pdf,2024,convenio_cci,,,2,data/raw/2024/Aptos2024CCI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Aptos2024ExtraordinarioI.pdf,2024,extraordinario,,,5,data/raw/2024/Aptos2024ExtraordinarioI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Aptos2024ExtraordinarioII.pdf,2024,extraordinario,,,2,data/raw/2024/Aptos2024ExtraordinarioII.pdf,2,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Aptos2024RS.pdf,2024,lista_aptos,,,9,data/raw/2024/Aptos2024RS.pdf,0,DEVEXP,,,0,0,0,0,vacio_para_regex
Beca_Esperanza_2024.pdf,2024,beca,RESULTADOS EXAMEN DE ADMISION 2024 - BECA ESPERANZA JOVEN,25/03/2024,26,data/raw/2024/Beca_Esperanza_2024.pdf,26,DEVEXP,NC|NSP,Condición|Código|Nombre|Ord.|Total,770,954,1272,0,puntajes_sin_condicion
DISTANCIA_E2024I.pdf,2024,distancia,PRIMER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2024 - ORDINARIO I,15/10/2023,24,data/raw/2024/DISTANCIA_E2024I.pdf,24,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Ord.|Total,209,232,199,0,con_denominador
DISTANCIA_E2024II.pdf,2024,distancia,SEGUNDO EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2024 - ORDINARIO II,28/01/2024,22,data/raw/2024/DISTANCIA_E2024II.pdf,22,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Ord.|Total,203,231,219,0,con_denominador
DISTANCIA_E2024III.pdf,2024,distancia,TERCER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2024 - ORDINARIO III,25/03/2024,28,data/raw/2024/DISTANCIA_E2024III.pdf,28,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Ord.|Total,257,298,284,0,con_denominador
EComplementario2024.pdf,2024,complementario,EXAMEN COMPLEMENTARIO 2024,03/03/2024,2,data/raw/2024/EComplementario2024.pdf,2,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,139,0,82,0,con_denominador
EG2024I.pdf,2024,ordinario,PRIMER EXAMEN ORDINARIO 2024,03/09/2023,77,data/raw/2024/EG2024I.pdf,77,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,6131,0,2959,54,con_denominador
EG2024II.pdf,2024,ordinario,SEGUNDO EXAMEN ORDINARIO 2024,17/12/2023,66,data/raw/2024/EG2024II.pdf,66,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,4571,0,2194,54,con_denominador
EG2024III.pdf,2024,ordinario,TERCER EXAMEN ORDINARIO 2024,18/02/2024,76,data/raw/2024/EG2024III.pdf,76,DEVEXP,INGRESO|NC|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,6081,0,2723,58,con_denominador
Extraordinario20241.pdf,2024,convenio_cci,EXAMEN EXTRAORDINARIO 2024 I - CONVENIO ANDRES BELLO,04/02/2024,83,data/raw/2024/Extraordinario20241.pdf,83,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,1172,0,473,0,con_denominador
Extraordinario2024II.pdf,2024,traslado,EXAMEN EXTRAORDINARIO 2024 II - TRASLADO EXTERNO NACIONAL II,04/08/2024,31,data/raw/2024/Extraordinario2024II.pdf,31,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Ord.|Total,80,0,108,0,con_denominador
Nivelacion2024.pdf,2024,complementario,Nota 02 : Examen,03/03/2024,13,data/raw/2024/Nivelacion2024.pdf,13,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,59,0,23,0,con_denominador
NoAptos2024ExtraordinarioI.pdf,2024,extraordinario,,,16,data/raw/2024/NoAptos2024ExtraordinarioI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
NoAptos2024ExtraordinarioII.pdf,2024,extraordinario,,,3,data/raw/2024/NoAptos2024ExtraordinarioII.pdf,1,MS-OFFICE,,,0,0,0,0,vacio_para_regex
NoAptos2024RS.pdf,2024,lista_aptos,,,2,data/raw/2024/NoAptos2024RS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
NoAptos2024RS_1.pdf,2024,lista_aptos,,,3,data/raw/2024/NoAptos2024RS_1.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
REQ_2024_CCI.pdf,2024,convenio_cci,,,1,data/raw/2024/REQ_2024_CCI.pdf,1,DEVEXP,,,0,0,0,0,vacio_para_regex
RendimientoSuperior2024.pdf,2024,rendimiento_superior,EXAMEN EXTRAORDINARIO 2024 I - RENDIMIENTO SUPERIOR - AREQUIPA,09/07/2023,61,data/raw/2024/RendimientoSuperior2024.pdf,61,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,1037,0,812,0,con_denominador
RendimientoSuperior2024_2.pdf,2024,rendimiento_superior,EXAMEN EXTRAORDINARIO 2024 I - RENDIMIENTO SUPERIOR - AREQUIPA,09/07/2023,54,data/raw/2024/RendimientoSuperior2024_2.pdf,54,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,743,0,269,0,con_denominador
